2025-01-07 11:44:55.272724 - INFO - Starting data generator script.
2025-01-07 11:44:55.279723 - INFO - Generated user activity: {'user_id': 4, 'activity': 'view_item', 'timestamp': '2025-01-07 09:44:55'}
2025-01-07 11:44:55.371710 - INFO - Data sent to Kafka: {'user_id': 4, 'activity': 'view_item', 'timestamp': '2025-01-07 09:44:55'}
2025-01-07 11:44:57.404240 - INFO - Generated user activity: {'user_id': 40, 'activity': 'purchase', 'timestamp': '2025-01-07 09:44:57'}
2025-01-07 11:44:57.416236 - INFO - Data sent to Kafka: {'user_id': 40, 'activity': 'purchase', 'timestamp': '2025-01-07 09:44:57'}
2025-01-07 11:44:59.418756 - INFO - Generated user activity: {'user_id': 25, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:44:59'}
2025-01-07 11:44:59.437760 - INFO - Data sent to Kafka: {'user_id': 25, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:44:59'}
2025-01-07 11:45:01.449052 - INFO - Generated user activity: {'user_id': 35, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:45:01'}
2025-01-07 11:45:01.471045 - INFO - Data sent to Kafka: {'user_id': 35, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:45:01'}
2025-01-07 11:45:03.494910 - INFO - Generated user activity: {'user_id': 33, 'activity': 'view_item', 'timestamp': '2025-01-07 09:45:03'}
2025-01-07 11:45:03.501902 - INFO - Data sent to Kafka: {'user_id': 33, 'activity': 'view_item', 'timestamp': '2025-01-07 09:45:03'}
2025-01-07 11:45:05.511445 - INFO - Generated user activity: {'user_id': 9, 'activity': 'purchase', 'timestamp': '2025-01-07 09:45:05'}
2025-01-07 11:45:05.522447 - INFO - Data sent to Kafka: {'user_id': 9, 'activity': 'purchase', 'timestamp': '2025-01-07 09:45:05'}
2025-01-07 11:45:07.544323 - INFO - Generated user activity: {'user_id': 65, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:45:07'}
2025-01-07 11:45:07.553315 - INFO - Data sent to Kafka: {'user_id': 65, 'activity': 'add_to_cart', 'timestamp': '2025-01-07 09:45:07'}
2025-01-07 11:45:09.574996 - INFO - Generated user activity: {'user_id': 10, 'activity': 'logout', 'timestamp': '2025-01-07 09:45:09'}
2025-01-07 11:45:09.587975 - INFO - Data sent to Kafka: {'user_id': 10, 'activity': 'logout', 'timestamp': '2025-01-07 09:45:09'}
